Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
340787.57057041774,339926.04493213235,337418.71564611385,341290.7530415956,336731.5336145799,332954.9828714112,339794.61667473515,341987.59102673427
340799.90873335704,339929.8000252009,337411.7419018438,341292.8988090633,336747.6268705877,332957.6650807458,339793.5437910013,341981.1537243311
340800.98161709093,339934.62800200324,337401.01306450524,341292.8988090633,336761.0379172609,332957.12863887893,339795.68955846905,341994.5647710043
340778.9875005469,339933.01867640245,337412.81478557765,341304.7005301357,336759.96503352706,332961.9566156813,339799.98109340447,341989.20035233506
340789.7163378854,339945.8932812087,337413.3512274446,341300.4089952003,336750.3090799223,332958.20152261277,339803.199744606,341980.6172824642
340805.80959389324,339942.6746300071,337424.61650665005,341307.9191813373,336753.5277311239,332957.12863887893,339817.1472331461,341988.6639104681
340765.5764538737,339943.74751374096,337412.2783437107,341302.55476266803,336738.5073588499,332967.32103435055,339828.4125123516,342001.00207340746
340800.98161709093,339948.0390486764,337412.2783437107,341325.08532107895,336761.57435912784,332964.6388250159,339813.92858194455,342004.75716647593
340809.0282450948,339948.5754905433,337420.8614135816,341319.7209024097,336750.3090799223,332965.71170874976,339804.2726283399,342007.9758176775
340800.445175224,339956.62211854727,337416.0334367792,341305.77341386955,336753.5277311239,332973.22189488675,339823.04809368233,342006.3664920767
340819.22064056643,339949.64837427717,337423.5436229162,341326.69464667974,336790.5422199419,332976.4405460883,339828.4125123516,342017.6317712822
340809.0282450948,339952.86702547874,337415.4969949123,341323.47599547816,336774.98540580104,332982.34140662453,339829.4853960854,342034.26146915695
340815.46554749797,339946.96616494254,337426.22583225084,341318.64801867586,336777.1311732687,332976.4405460883,339836.9955822224,342032.1157016892
340811.17401256255,339951.25769987796,337420.8614135816,341326.1582048128,336777.66761513567,332979.12275542296,339823.04809368233,342037.4801203585
340824.58505923575,339956.0856766803,337429.9809253193,341330.98618161515,336793.22442927654,332982.34140662453,339822.5116518154,342035.87079475773
340834.2410128404,339970.0331652204,337426.22583225084,341304.7005301357,336805.5625922159,333002.72619756777,339821.9752099485,342044.9903064955
340844.43340831203,339968.4238396196,337430.51736718626,341311.13783253887,336818.97363888903,333002.1897557008,339816.6107912792,342047.67251583014
340864.81819925527,339981.2984444259,337435.8817858555,341317.03869307507,336822.1922900906,333004.87196503545,339813.39214007766,342040.16232969315
340788.1070122847,339971.1060489543,337447.6835069279,341318.64801867586,336809.8541271513,332995.75245329767,339836.9955822224,342039.6258878262
340638.9761732789,339990.41795616364,337435.8817858555,341303.6276464019,336806.63547594973,332997.8982207654,339821.9752099485,342020.85042248375
